,ENG-SPA_id,Phonemes_ENG,Phonemes_SPA,Total_phonemes_ENG,Total_phonemes_SPA
32,s2_10_seg33,"[('p', 0.27, 0.34), ('b', 0.55, 0.58), ('f', 0.64, 0.67)]","[('m', 0.126, 0.206), ('p', 0.366, 0.406), ('B', 0.656, 0.686)]",3,3
33,s2_10_seg34,"[('p', 0.0, 0.03), ('f', 1.38, 1.47)]","[('p', 0.176, 0.206), ('p', 0.466, 0.506), ('f', 1.446, 1.516)]",2,3
34,s2_10_seg35,"[('v', 0.92, 0.95)]","[('B', 0.696, 0.746)]",1,1
35,s2_10_seg36,"[('w', 0.0, 0.06), ('f', 0.29, 0.32), ('m', 0.82, 1.64), ('w', 1.64, 1.67), ('f', 3.33, 3.36), ('m', 3.58, 3.7), ('v', 4.9, 4.93)]","[('B', 4.236, 4.266), ('w', 4.916, 4.996), ('p', 5.836, 5.876)]",7,3
36,s2_10_seg37,"[('w', 0.28, 0.32), ('p', 0.56, 0.6), ('v', 0.69, 0.78), ('v', 1.53, 1.6)]","[('m', 0.386, 0.446), ('B', 0.656, 0.696), ('B', 1.206, 1.246)]",4,3
37,s2_10_seg38,"[('w', 0.36, 0.4), ('w', 0.52, 0.55), ('v', 0.89, 0.96), ('w', 1.02, 1.05)]","[('B', 0.566, 0.596), ('m', 0.786, 0.866), ('m', 1.056, 1.116)]",4,3
38,s2_10_seg39,"[('v', 0.63, 0.66), ('m', 0.66, 0.72)]","[('m', 1.016, 1.066)]",2,1
39,s2_10_seg40,"[('b', 0.35, 0.38), ('w', 0.71, 0.76), ('m', 1.38, 1.49), ('p', 1.49, 1.56), ('v', 1.85, 1.89), ('m', 2.18, 2.22), ('p', 2.22, 2.29), ('f', 2.91, 2.98), ('m', 3.17, 3.21), ('f', 4.64, 4.73)]","[('B', 0.266, 0.336), ('f', 0.686, 0.766), ('w', 0.766, 0.806), ('m', 1.036, 1.096), ('p', 1.096, 1.146), ('w', 1.876, 1.906), ('m', 2.236, 2.296), ('p', 2.296, 2.366), ('m', 3.216, 3.266), ('m', 4.706, 4.766)]",10,10
40,s2_10_seg41,"[('f', 0.21, 0.3), ('m', 0.37, 0.43), ('p', 0.7, 0.73)]","[('b', 0.056, 0.096), ('m', 0.646, 0.686), ('m', 1.046, 1.076)]",3,3
41,s2_10_seg42,"[('m', 0.35, 0.39)]","[('m', 0.926, 0.996), ('p', 1.106, 1.136)]",1,2
42,s2_10_seg43,"[('m', 0.3, 0.34), ('b', 0.6, 0.66), ('m', 1.06, 1.13)]","[('m', 0.886, 0.966), ('m', 1.046, 1.116)]",3,2
43,s2_10_seg44,"[('p', 0.88, 0.94), ('f', 1.31, 1.4), ('w', 1.6, 1.67), ('m', 2.92, 3.02), ('b', 3.41, 3.45)]","[('p', 1.066, 1.106), ('m', 1.646, 1.696), ('p', 1.976, 2.006), ('B', 2.506, 2.566), ('m', 2.786, 2.856)]",5,5
44,s2_10_seg45,"[('w', 0.0, 0.06), ('v', 0.15, 0.2)]",[],2,0
45,s2_10_seg46,"[('w', 0.01, 0.05), ('p', 1.16, 1.21), ('b', 2.19, 2.28), ('f', 2.66, 2.7), ('b', 4.37, 4.48), ('f', 5.53, 5.74)]","[('B', 0.666, 0.736), ('m', 0.776, 0.866), ('p', 2.096, 2.166), ('p', 2.516, 2.556), ('b', 2.796, 2.846), ('m', 3.236, 3.276), ('p', 3.556, 4.356), ('B', 5.586, 5.626), ('w', 6.146, 6.226)]",6,9
46,s2_10_seg47,"[('w', 0.2, 0.23), ('p', 0.69, 0.75), ('m', 1.28, 1.36)]","[('B', 0.646, 0.676), ('p', 0.816, 0.856), ('m', 1.366, 1.446)]",3,3
47,s2_10_seg48,"[('w', 0.15, 0.29), ('v', 0.57, 0.67), ('f', 2.2, 2.29), ('f', 2.96, 3.05), ('w', 4.955, 5.03)]","[('B', 0.186, 0.246), ('m', 2.486, 2.536)]",5,2
48,s2_10_seg49,"[('w', 0.51, 0.55), ('b', 0.6, 0.64), ('f', 0.87, 0.93), ('m', 1.93, 2.0), ('f', 2.28, 2.34)]","[('m', 0.826, 0.896), ('p', 1.036, 1.086), ('B', 1.426, 1.496), ('B', 1.846, 1.916), ('m', 2.396, 2.446)]",5,5
49,s2_10_seg50,"[('m', 0.0, 0.03), ('f', 0.11, 0.25), ('m', 3.51, 3.57)]","[('m', 0.036, 0.086), ('p', 0.166, 0.276), ('F', 0.656, 0.766), ('w', 0.766, 0.936), ('m', 3.686, 3.726)]",3,5
50,s2_10_seg51,"[('m', 0.04, 0.07), ('f', 0.26, 0.3)]","[('m', 0.106, 0.146)]",2,1
51,s2_10_seg52,"[('p', 0.0, 0.04), ('b', 0.31, 0.34), ('w', 0.67, 0.79), ('v', 1.46, 1.5)]","[('m', 0.456, 0.526), ('B', 1.416, 1.446), ('m', 1.566, 1.596)]",4,3
52,s2_10_seg53,"[('w', 0.42, 0.47), ('f', 0.6, 0.7), ('w', 2.35, 2.43), ('p', 2.83, 2.91)]","[('p', 0.136, 0.216), ('m', 0.436, 0.506), ('B', 3.016, 3.066)]",4,3
53,s2_10_seg54,"[('b', 0.14, 0.17), ('w', 0.47, 0.5), ('m', 1.41, 1.48), ('m', 1.78, 1.87)]","[('m', 0.386, 0.466), ('f', 0.591, 0.636), ('B', 1.586, 1.636)]",4,3
54,s2_10_seg55,"[('m', 0.63, 0.98)]","[('w', 0.506, 0.556), ('p', 0.846, 0.936)]",1,2
55,s2_10_seg56,"[('m', 0.62, 0.68), ('w', 1.29, 1.35), ('f', 1.82, 2.42)]","[('m', 0.946, 1.006)]",3,1
56,s2_10_seg57,"[('m', 0.33, 0.9), ('b', 1.38, 1.64), ('w', 1.8, 1.83)]","[('p', 1.396, 1.496), ('m', 1.646, 1.726), ('p', 2.126, 2.156)]",3,3
57,s2_10_seg58,"[('m', 0.12, 0.17), ('b', 0.31, 0.36), ('f', 1.44, 1.49)]","[('m', 0.106, 0.156), ('w', 0.306, 0.356), ('p', 0.476, 0.526)]",3,3
58,s2_10_seg59,"[('m', 0.04, 0.08), ('p', 0.78, 0.82), ('b', 1.73, 1.76), ('v', 2.16, 2.22), ('w', 2.44, 2.5), ('v', 2.61, 2.67), ('p', 2.93, 2.98)]","[('m', 0.656, 0.716), ('p', 1.276, 1.336), ('B', 2.596, 2.656), ('p', 2.876, 2.946)]",7,4
59,s2_10_seg60,"[('f', 0.05, 0.08)]","[('B', 0.296, 0.356), ('B', 0.651, 0.716), ('w', 1.296, 1.356)]",1,3
60,s2_10_seg61,"[('w', 0.23, 0.3), ('p', 0.68, 0.74), ('b', 1.25, 1.37), ('m', 1.84, 1.95), ('w', 2.085, 2.17), ('w', 2.275, 2.39), ('f', 2.72, 2.86), ('b', 3.23, 3.28)]","[('m', 0.276, 0.336), ('B', 0.516, 0.556), ('B', 0.786, 0.836), ('B', 1.336, 1.416), ('B', 1.946, 1.986), ('m', 2.176, 2.246), ('p', 2.246, 2.336), ('B', 3.366, 3.416)]",8,8
61,s2_10_seg62,"[('m', 2.0, 2.18)]","[('m', 0.936, 0.976), ('b', 0.976, 1.006)]",1,2
62,s2_10_seg63,"[('p', 1.11, 1.17), ('b', 1.43, 1.48), ('f', 1.825, 1.87), ('w', 1.94, 2.06), ('p', 2.34, 2.37)]","[('m', 0.526, 0.586), ('p', 1.016, 1.076), ('B', 1.376, 1.416), ('p', 2.246, 2.306)]",5,4
63,s2_10_seg64,"[('m', 2.75, 2.82)]","[('p', 0.0, 0.046), ('p', 1.656, 1.826), ('m', 2.666, 2.696), ('F', 2.896, 2.926), ('f', 2.926, 3.026)]",1,5
64,s2_10_seg65,[],[],0,0
65,s2_10_seg66,"[('w', 0.15, 0.25)]","[('b', 0.0, 0.166), ('m', 0.846, 0.906)]",1,2
66,s2_10_seg67,"[('m', 0.0, 0.05)]","[('m', 0.0, 0.036)]",1,1
67,s2_10_seg68,"[('m', 0.72, 0.81), ('m', 0.88, 0.91), ('b', 0.91, 0.94)]","[('m', 0.576, 0.606), ('w', 0.966, 0.996)]",3,2
68,s2_10_seg69,"[('v', 0.39, 0.42)]","[('B', 0.236, 0.316), ('B', 0.846, 0.876)]",1,2
69,s2_10_seg70,"[('w', 0.0, 0.06), ('m', 0.53, 0.62)]","[('m', 0.146, 0.216), ('m', 0.916, 1.026), ('w', 1.026, 1.146)]",2,3
70,s2_10_seg71,"[('w', 0.13, 0.2), ('v', 0.37, 0.4), ('b', 0.4, 0.44), ('f', 0.61, 0.65), ('f', 1.57, 1.63), ('f', 1.88, 1.93), ('v', 2.26, 2.315), ('b', 2.78, 2.82)]","[('p', 1.576, 1.626), ('f', 2.036, 2.076), ('m', 2.346, 2.406)]",8,3
71,s2_10_seg72,"[('b', 0.66, 0.7)]",[],1,0
72,s2_10_seg73,"[('v', 0.48, 0.52), ('f', 0.98, 1.1)]","[('B', 0.386, 0.436), ('B', 0.736, 0.796)]",2,2
73,s2_10_seg74,"[('b', 0.14, 0.17), ('m', 1.06, 1.23), ('w', 1.53, 1.56), ('f', 1.85, 1.88), ('m', 1.96, 2.01), ('f', 2.21, 2.24), ('m', 2.55, 2.58)]","[('m', 0.0, 0.056), ('p', 1.896, 1.926), ('m', 2.056, 2.146), ('f', 2.286, 2.326), ('m', 2.406, 2.436)]",7,5
74,s2_10_seg75,"[('m', 0.55, 0.63), ('m', 1.02, 1.06), ('p', 1.06, 1.09), ('b', 1.47, 1.5), ('b', 1.63, 1.67), ('f', 2.02, 2.05), ('m', 2.11, 2.15)]","[('m', 0.116, 0.226), ('m', 1.046, 1.106), ('p', 1.106, 1.156), ('B', 1.486, 1.536)]",7,4
75,s2_10_seg76,"[('v', 0.13, 0.16), ('v', 0.64, 0.69), ('f', 0.78, 0.92)]","[('m', 0.456, 0.526), ('w', 0.526, 0.576), ('p', 0.966, 1.026)]",3,3
76,s2_10_seg77,"[('m', 0.48, 0.6)]","[('m', 0.326, 0.376), ('m', 0.606, 0.646), ('w', 0.646, 0.676)]",1,3
77,s2_10_seg78,"[('p', 0.49, 0.54), ('p', 1.07, 1.17), ('w', 1.84, 1.9), ('v', 2.1, 2.22), ('p', 3.0, 3.12)]","[('B', 1.176, 1.216), ('B', 2.156, 2.206), ('p', 2.916, 3.076)]",5,3
78,s2_10_seg79,"[('v', 0.3, 0.345), ('b', 0.44, 0.47), ('b', 0.73, 0.78), ('m', 0.93, 0.97), ('b', 0.97, 1.01), ('f', 1.46, 1.61)]","[('p', 1.296, 1.386)]",6,1
79,s2_10_seg80,"[('w', 0.0, 0.1), ('w', 0.56, 0.59)]",[],2,0
80,s2_10_seg81,"[('v', 0.43, 0.5), ('p', 0.81, 0.87), ('v', 1.0, 1.03), ('b', 1.25, 1.3), ('m', 1.7, 1.74), ('v', 2.42, 2.49), ('p', 2.49, 2.52), ('p', 2.63, 2.66), ('b', 3.72, 3.75), ('v', 3.94, 4.0), ('v', 4.78, 4.82), ('w', 5.39, 5.44), ('m', 5.47, 5.53), ('f', 5.64, 5.69), ('m=', 5.69, 5.78), ('v', 6.14, 6.19)]","[('p', 0.326, 0.356), ('m', 0.606, 0.636), ('m', 0.696, 0.746), ('w', 0.746, 0.786), ('p', 1.846, 1.886), ('B', 3.726, 3.756), ('p', 3.816, 3.896), ('B', 4.176, 4.236), ('m', 4.566, 4.646), ('b', 5.556, 5.606), ('m', 5.816, 5.886)]",16,11
81,s2_10_seg82,"[('w', 0.25, 0.3), ('m', 0.61, 0.74), ('p', 0.74, 0.77), ('w', 1.24, 1.27), ('v', 2.11, 2.17), ('v', 2.49, 2.54)]","[('m', 0.826, 0.866), ('p', 0.866, 0.926), ('B', 1.946, 2.006), ('B', 2.096, 2.266)]",6,4
82,s2_10_seg83,"[('v', 0.13, 0.17), ('v', 0.63, 0.7)]","[('m', 1.436, 1.466)]",2,1
83,s2_10_seg84,"[('m', 0.26, 0.29), ('p', 0.29, 0.32), ('m', 0.54, 0.58), ('v', 1.04, 1.07)]","[('m', 0.246, 0.316), ('p', 0.316, 0.376), ('B', 1.136, 1.176)]",4,3
84,s2_10_seg85,"[('v', 0.1, 0.13), ('b', 0.13, 0.16), ('p', 0.44, 0.49), ('m', 0.74, 0.77), ('w', 1.62, 1.65), ('f', 1.81, 1.84)]","[('B', 0.116, 0.166), ('p', 0.376, 0.426), ('m', 0.546, 0.586)]",6,3
85,s2_10_seg86,"[('m', 0.95, 0.98)]","[('f', 0.486, 0.566)]",1,1
86,s2_10_seg87,"[('p', 0.22, 0.25), ('b', 0.54, 0.58), ('f', 0.82, 0.92), ('m', 1.3, 1.35), ('b', 1.49, 1.53)]","[('p', 0.766, 0.796), ('B', 0.896, 0.926), ('p', 1.056, 1.126), ('m', 1.536, 1.596)]",5,4
87,s2_10_seg88,"[('m', 0.26, 0.3), ('b', 1.03, 1.06), ('w', 1.91, 1.95), ('m', 2.55, 2.63)]","[('B', 0.186, 0.216), ('w', 0.216, 0.276), ('p', 1.976, 2.036), ('m', 2.566, 2.636)]",4,4
88,s2_10_seg89,"[('b', 0.29, 0.39), ('f', 0.8, 0.91)]","[('p', 0.426, 0.476)]",2,1
89,s2_10_seg90,"[('w', 0.05, 0.09), ('p', 0.3, 0.38), ('m', 0.9, 0.93), ('w', 1.24, 1.27)]","[('B', 0.806, 0.836), ('B', 1.576, 1.616), ('m', 1.926, 1.976)]",4,3
90,s2_10_seg91,"[('v', 0.17, 0.22), ('p', 0.52, 0.57), ('v', 0.88, 0.96), ('f', 1.28, 1.31)]","[('b', 0.036, 0.076), ('B', 0.126, 0.156), ('m', 0.266, 0.326), ('f', 0.461, 0.506), ('p', 1.026, 1.066), ('m', 1.486, 1.526), ('p', 1.526, 1.626), ('f', 2.326, 2.376)]",4,8
91,s2_10_seg92,"[('f', 0.78, 0.82), ('w', 1.78, 1.88), ('w', 2.16, 2.19)]","[('p', 0.746, 0.786), ('B', 1.911, 1.976), ('w', 1.976, 2.066), ('p', 2.306, 2.336), ('B', 2.726, 2.756), ('p', 2.956, 3.006)]",3,6
92,s2_10_seg93,"[('w', 0.0, 0.03), ('v', 0.16, 0.19), ('p', 0.42, 0.45), ('v', 1.17, 1.21)]","[('p', 0.276, 0.306)]",4,1
93,s2_10_seg94,"[('v', 0.66, 0.72), ('m', 0.9, 0.95), ('f', 1.19, 1.26)]","[('B', 0.186, 0.226), ('B', 0.796, 0.846), ('m', 1.186, 1.276)]",3,3
94,s2_10_seg95,"[('w', 0.23, 0.29), ('m', 0.77, 0.85), ('b', 1.72, 1.78), ('v', 2.9, 2.93), ('b', 3.02, 3.09), ('w', 3.69, 3.83)]","[('m', 1.066, 1.186), ('B', 1.846, 1.896), ('B', 1.966, 1.996), ('p', 2.686, 2.716), ('p', 3.316, 3.346)]",6,5
95,s2_10_seg96,"[('f', 0.15, 0.18), ('m', 0.49, 0.55), ('w', 1.38, 1.53), ('m', 2.17, 2.34), ('f', 2.41, 2.46), ('m', 2.99, 3.13)]","[('p', 0.0, 0.066), ('m', 0.656, 0.726), ('p', 1.066, 1.106), ('p', 2.356, 2.386)]",6,4
96,s2_10_seg97,"[('m', 0.0, 0.06), ('b', 0.18, 0.21), ('v', 0.32, 0.35), ('v', 0.75, 0.83), ('m', 1.42, 1.46)]","[('B', 0.246, 0.286), ('B', 0.516, 0.556), ('f', 1.176, 1.226), ('m', 1.326, 1.366)]",5,4
97,s2_10_seg98,"[('w', 0.27, 0.35), ('w', 1.02, 1.1)]","[('p', 0.0, 0.056), ('B', 1.216, 1.256), ('f', 1.706, 1.756)]",2,3
98,s2_10_seg99,[],[],0,0
99,s2_10_seg100,"[('m', 0.0, 0.12), ('m', 0.35, 0.39), ('m', 0.8, 0.85), ('b', 0.85, 0.88)]","[('m', 0.0, 0.086), ('m', 0.196, 0.226), ('B', 0.596, 0.626), ('w', 0.626, 0.726)]",4,4
100,s2_10_seg101,"[('w', 1.29, 1.34)]","[('B', 0.521, 0.566), ('B', 0.636, 0.666)]",1,2
101,s2_10_seg102,"[('m', 0.09, 0.16), ('v', 0.59, 0.65)]","[('m', 0.516, 0.586), ('m', 0.886, 0.986)]",2,2
102,s2_10_seg103,"[('m', 0.09, 0.12), ('v', 0.61, 0.64), ('m', 0.79, 0.84), ('v', 1.27, 1.31)]","[('m', 0.516, 0.556)]",4,1
103,s2_10_seg104,"[('w', 0.0, 0.03), ('v', 0.24, 0.27), ('m', 0.45, 0.49), ('w', 0.69, 0.72)]","[('m', 0.626, 0.686), ('p', 0.766, 0.816)]",4,2
104,s2_10_seg105,"[('w', 0.0, 0.03), ('v', 0.24, 0.27), ('m', 0.45, 0.49), ('w', 0.69, 0.72)]",[],4,0
105,s2_10_seg106,"[('m', 0.04, 0.11), ('w', 0.58, 0.62)]","[('p', 0.046, 0.106), ('w', 0.106, 0.166), ('m', 0.826, 0.856), ('b', 0.856, 0.886)]",2,4
106,s2_10_seg107,"[('w', 0.18, 0.23), ('w', 0.45, 0.48), ('m', 0.62, 0.65), ('m', 0.72, 0.86)]","[('B', 0.466, 0.496), ('m', 0.596, 0.666), ('m', 0.716, 0.776)]",4,3
107,s2_10_seg108,"[('w', 0.09, 0.12), ('p', 0.42, 0.48), ('p', 1.11, 1.33)]",[],3,0
108,s2_10_seg109,"[('p', 0.02, 0.06), ('p', 0.19, 0.22)]","[('p', 0.016, 0.046), ('m', 0.486, 0.526), ('w', 1.276, 1.336), ('F', 1.546, 1.576), ('f', 1.576, 1.606), ('m', 1.736, 1.766), ('m', 1.866, 1.906)]",2,7
109,s2_10_seg110,[],"[('B', 0.896, 0.936)]",0,1
110,s2_10_seg111,[],[],0,0
111,s2_10_seg112,"[('b', 0.26, 0.31), ('m', 0.58, 0.69)]",[],2,0
112,s2_10_seg113,"[('w', 0.0, 0.09)]",[],1,0
113,s2_10_seg114,"[('v', 0.21, 0.28), ('v', 0.33, 0.41)]","[('b', 0.516, 0.556)]",2,1
114,s2_10_seg115,"[('v', 0.25, 0.29), ('w', 0.4, 0.5), ('m', 1.48, 1.53), ('b', 2.41, 2.47)]","[('p', 0.256, 0.336), ('p', 0.576, 0.606), ('p', 1.256, 1.466), ('p', 1.816, 1.846), ('w', 1.846, 1.916)]",4,5
115,s2_10_seg116,"[('w', 0.03, 0.06), ('p', 0.55, 0.6)]","[('B', 0.376, 0.416), ('p', 0.526, 0.566)]",2,2
116,s2_10_seg117,"[('m', 0.71, 0.74), ('m', 0.82, 0.85), ('b', 0.85, 0.88)]","[('w', 0.346, 0.446)]",3,1
117,s2_10_seg118,"[('w', 0.3, 0.38), ('f', 1.81, 1.84), ('m', 1.94, 2.06)]","[('B', 0.556, 0.586), ('p', 0.806, 0.856)]",3,2
118,s2_10_seg119,"[('w', 0.1, 0.14), ('b', 1.52, 1.58)]","[('w', 0.086, 0.136), ('w', 0.666, 0.706), ('m', 1.436, 1.486), ('p', 1.556, 1.596), ('B', 1.766, 1.796)]",2,5
119,s2_10_seg120,"[('b', 0.2, 0.23), ('w', 0.29, 0.34), ('f', 0.44, 0.47)]","[('w', 0.576, 0.616)]",3,1
120,s2_10_seg121,"[('w', 0.13, 0.17), ('m', 0.32, 2.34), ('b', 3.27, 3.31), ('m', 3.5, 3.82)]","[('m', 1.136, 1.456), ('B', 1.736, 1.796), ('p', 2.906, 2.936), ('m', 3.176, 3.256), ('m', 3.596, 3.626)]",4,5
121,s2_10_seg122,"[('w', 0.0, 0.03), ('v', 1.23, 1.345), ('m', 1.59, 1.68), ('f', 1.98, 2.01), ('p', 2.17, 2.31), ('m', 2.44, 2.51)]","[('b', 0.016, 0.046), ('m', 0.076, 0.146), ('B', 1.541, 1.586), ('m', 2.046, 2.076), ('p', 2.556, 2.586), ('m', 2.676, 2.716)]",6,6
122,s2_10_seg123,"[('v', 0.14, 0.22), ('m', 0.32, 0.35), ('m', 0.61, 0.65)]","[('m', 0.856, 0.916), ('f', 1.066, 1.106), ('w', 1.106, 1.156)]",3,3
123,s2_10_seg124,"[('w', 0.42, 0.6)]",[],1,0
