,ENG-SPA_id,Phonemes_ENG,Phonemes_SPA,Total_phonemes_ENG,Total_phonemes_SPA
30,s3_2_seg31,"[('m', 3.5, 3.57), ('v', 4.31, 4.35), ('m', 5.09, 5.17), ('v', 5.75, 5.88), ('w', 7.31, 7.34), ('b', 7.47, 7.51), ('m', 7.82, 9.1), ('v', 9.45, 9.61), ('w', 9.87, 9.9), ('m', 11.98, 12.06), ('b', 12.06, 12.09), ('f', 12.505, 12.55), ('m', 12.59, 12.67)]","[('p', 2.656, 2.726), ('w', 2.726, 2.776), ('B', 2.996, 3.026), ('m', 3.306, 3.336), ('w', 4.656, 4.716), ('m', 7.096, 7.176), ('b', 7.176, 7.216), ('B', 9.336, 9.396), ('B', 11.736, 11.796), ('w', 11.796, 11.856), ('p', 12.056, 12.146), ('m', 12.256, 12.316), ('m', 14.486, 14.516)]",13,13
31,s3_2_seg32,"[('w', 1.01, 1.05), ('m', 1.53, 1.58)]","[('p', 0.366, 0.396), ('w', 0.396, 0.536), ('m', 1.646, 1.676), ('p', 1.676, 1.756)]",2,4
32,s3_2_seg33,"[('b', 0.49, 0.52), ('f', 0.67, 0.79), ('f', 0.96, 1.06)]","[('m', 0.346, 0.416), ('f', 0.606, 0.696), ('m', 0.936, 0.996), ('p', 1.106, 1.206)]",3,4
33,s3_2_seg34,"[('p', 0.31, 0.34), ('b', 0.48, 0.54), ('f', 0.69, 0.76), ('f', 2.3, 2.35), ('m', 2.39, 2.47), ('m', 2.71, 2.78), ('p', 3.09, 3.13), ('p', 3.2, 3.3), ('w', 3.46, 3.51), ('p', 3.67, 3.7)]","[('p', 0.146, 0.226), ('m', 0.616, 0.656), ('p', 0.776, 0.836), ('F', 2.706, 2.816), ('w', 2.816, 2.886), ('m', 3.026, 3.056), ('m', 3.056, 3.146), ('p', 3.476, 3.526)]",10,8
34,s3_2_seg35,"[('p', 0.33, 0.36), ('b', 0.55, 0.58)]","[('p', 0.176, 0.216)]",2,1
35,s3_2_seg36,"[('w', 0.5, 0.57), ('f', 0.86, 0.895)]",[],2,0
36,s3_2_seg37,"[('w', 0.01, 0.04), ('f', 0.18, 0.21), ('b', 0.7, 0.73), ('m', 0.97, 1.0), ('w', 1.0, 1.04)]","[('F', 0.386, 0.476), ('w', 0.476, 0.606)]",5,2
37,s3_2_seg38,"[('m', 0.14, 0.17), ('w', 0.17, 0.2), ('b', 0.75, 0.82)]","[('m', 0.636, 0.676), ('p', 0.676, 0.756)]",3,2
38,s3_2_seg39,"[('w', 1.85, 1.88)]","[('B', 0.386, 0.426)]",1,1
39,s3_2_seg40,"[('m', 2.27, 2.37), ('w', 2.37, 2.47)]","[('B', 0.236, 0.306), ('p', 2.386, 2.416)]",2,2
40,s3_2_seg41,"[('p', 2.47, 2.51), ('b', 2.51, 2.54), ('w', 2.65, 2.72), ('w', 2.99, 3.02), ('p', 3.31, 3.34), ('b', 3.64, 3.68), ('p', 4.54, 4.57), ('b', 4.94, 5.08), ('b', 5.6, 5.64), ('v', 6.63, 6.68)]","[('p', 1.936, 1.976), ('B', 2.576, 2.606), ('B', 3.146, 3.206), ('F', 4.676, 4.736), ('m', 4.736, 4.786), ('p', 5.376, 5.416), ('p', 5.746, 5.846)]",10,7
41,s3_2_seg42,"[('b', 0.22, 0.25), ('v', 0.45, 0.53), ('m', 0.53, 0.57), ('f', 2.23, 2.26), ('f', 2.92, 2.97)]","[('m', 0.156, 0.216), ('B', 0.966, 0.996), ('B', 1.886, 1.936), ('m', 2.386, 2.486), ('m', 2.606, 2.646)]",5,5
42,s3_2_seg43,[],[],0,0
43,s3_2_seg44,[],[],0,0
44,s3_2_seg45,[],[],0,0
45,s3_2_seg46,[],"[('B', 0.506, 0.556)]",0,1
46,s3_2_seg47,[],[],0,0
47,s3_2_seg48,"[('m', 0.41, 2.28), ('p', 2.55, 2.59), ('b', 3.0, 3.05), ('m', 4.26, 4.5), ('w', 5.27, 5.3)]","[('p', 3.096, 3.126), ('m', 3.296, 3.326), ('p', 3.396, 3.446), ('B', 4.516, 4.546), ('m', 4.656, 4.756), ('p', 5.346, 5.386), ('w', 5.386, 5.466)]",5,7
48,s3_2_seg49,[],"[('m', 1.916, 1.986)]",0,1
49,s3_2_seg50,"[('m', 0.49, 0.56), ('m', 0.66, 0.7)]","[('w', 0.416, 0.496)]",2,1
50,s3_2_seg51,"[('w', 0.68, 0.71), ('v', 0.9, 0.95), ('b', 0.99, 1.04), ('w', 1.69, 1.74)]","[('p', 1.006, 1.106), ('w', 1.586, 1.626)]",4,2
51,s3_2_seg52,[],"[('p', 0.896, 0.936), ('w', 0.936, 0.966)]",0,2
52,s3_2_seg53,"[('b', 0.0, 0.06), ('b', 1.96, 1.99), ('p', 2.05, 2.13), ('f', 2.23, 2.27)]","[('p', 0.0, 0.036), ('B', 1.366, 1.396), ('p', 1.726, 1.756), ('f', 1.886, 1.926)]",4,4
53,s3_2_seg54,"[('w', 0.13, 0.16), ('v', 1.71, 1.74), ('b', 1.74, 1.77), ('b', 1.89, 1.92), ('m', 2.16, 2.2), ('w', 2.35, 2.46), ('m', 3.18, 3.22)]","[('m', 0.016, 0.096), ('B', 0.386, 0.416), ('B', 0.596, 0.646), ('B', 1.926, 1.976), ('m', 2.036, 2.146), ('m', 2.896, 2.966), ('m', 3.176, 3.226)]",7,7
54,s3_2_seg55,"[('w', 0.22, 0.25), ('m', 0.65, 0.74), ('v', 1.09, 1.12), ('v', 1.21, 1.25), ('f', 1.3, 1.37)]","[('m', 0.026, 0.076), ('p', 0.326, 0.366), ('m', 0.776, 0.826), ('m', 1.246, 1.326), ('w', 2.306, 2.346)]",5,5
55,s3_2_seg56,"[('v', 0.04, 0.1), ('b', 0.1, 0.13), ('p', 1.17, 1.24), ('m', 1.8, 1.86), ('m', 2.23, 2.26), ('v', 2.34, 2.44)]","[('p', 0.326, 0.366), ('p', 1.156, 1.186), ('B', 1.696, 1.736), ('m', 1.996, 2.036)]",6,4
56,s3_2_seg57,"[('v', 2.77, 2.8), ('m', 2.94, 2.98), ('b', 3.21, 3.24)]","[('m', 2.976, 3.016), ('p', 3.146, 3.226)]",3,2
57,s3_2_seg58,"[('f', 0.02, 0.09), ('f', 0.2, 0.3), ('m', 0.39, 0.49), ('m', 0.79, 0.84)]","[('B', 0.171, 0.216), ('m', 0.656, 0.696)]",4,2
58,s3_2_seg59,"[('m', 0.04, 0.08), ('f', 0.89, 0.95), ('m', 1.37, 1.51), ('v', 2.13, 2.18), ('b', 2.24, 2.27), ('m', 3.39, 3.46), ('m', 3.71, 3.79), ('w', 4.45, 4.52)]","[('m', 0.206, 0.316), ('f', 0.431, 0.476), ('w', 0.476, 0.566), ('p', 1.076, 1.116), ('m', 1.306, 1.466), ('m', 2.956, 3.026), ('p', 3.026, 3.076), ('B', 3.236, 3.296), ('m', 3.836, 3.886), ('b', 3.886, 3.916), ('w', 4.076, 4.106), ('B', 4.136, 4.176), ('f', 4.436, 4.476)]",8,13
59,s3_2_seg60,"[('v', 0.08, 0.13), ('b', 0.28, 0.37), ('m', 0.73, 0.77), ('p', 0.77, 0.88), ('f', 1.54, 1.65), ('m', 2.3, 2.38), ('v', 2.68, 2.77), ('b', 2.98, 3.21), ('p', 3.45, 3.51), ('b', 3.94, 3.97)]","[('m', 0.026, 0.056), ('m', 1.846, 1.886), ('p', 1.886, 1.916), ('B', 1.986, 2.036), ('m', 2.196, 2.266), ('f', 2.456, 2.496), ('B', 2.906, 2.946), ('m', 3.316, 3.366), ('m', 3.936, 3.976), ('B', 4.776, 4.806)]",10,10
60,s3_2_seg61,"[('m', 0.8, 1.53), ('m', 1.72, 1.82), ('m', 1.88, 1.96), ('p', 1.96, 2.04), ('m', 2.78, 2.84), ('v', 3.14, 3.21), ('w', 3.31, 3.39)]","[('m', 0.656, 0.726), ('w', 1.896, 1.956), ('p', 3.246, 3.286)]",7,3
61,s3_2_seg62,"[('m', 0.0, 0.08)]","[('p', 0.0, 0.046)]",1,1
62,s3_2_seg63,"[('b', 0.58, 0.61), ('v', 0.81, 0.84), ('b', 0.95, 0.98)]","[('B', 0.596, 0.636)]",3,1
63,s3_2_seg64,"[('f', 0.78, 0.81), ('b', 1.5, 1.57)]","[('p', 0.0, 0.026), ('m', 1.566, 1.656)]",2,2
64,s3_2_seg65,"[('f', 0.15, 0.18), ('v', 0.66, 0.76), ('p', 0.76, 0.79), ('w', 1.47, 1.55), ('m', 2.66, 2.69), ('v', 2.83, 2.86), ('m', 3.21, 3.27), ('b', 3.27, 3.3), ('f', 3.37, 3.45), ('f', 3.6, 3.64), ('w', 4.04, 4.07), ('v', 4.34, 4.41), ('f', 4.78, 4.83), ('p', 6.09, 6.13), ('w', 6.48, 6.55), ('p', 7.9, 7.95)]","[('p', 0.316, 0.346), ('w', 0.346, 0.426), ('p', 0.896, 0.926), ('w', 1.386, 1.446), ('w', 2.646, 2.696), ('m', 3.206, 3.286), ('p', 3.286, 3.336), ('f', 3.881, 3.936), ('m', 4.016, 4.066), ('m', 4.266, 4.356), ('b', 4.356, 4.386), ('f', 4.986, 5.036), ('p', 6.436, 6.486), ('p', 8.056, 8.096)]",16,14
65,s3_2_seg66,"[('m', 0.64, 0.76), ('f', 0.76, 0.79), ('m', 0.83, 0.915), ('m', 1.14, 1.19), ('f', 1.44, 1.47), ('m', 1.53, 2.635), ('w', 2.635, 2.82), ('b', 5.88, 5.95), ('v', 6.24, 6.295)]","[('m', 1.426, 1.516), ('w', 5.056, 5.116), ('p', 5.266, 5.296), ('B', 5.596, 5.626)]",9,4
66,s3_2_seg67,"[('f', 0.0, 0.22), ('w', 3.77, 3.83)]","[('b', 0.016, 0.256), ('m', 1.926, 2.066), ('p', 2.516, 2.546), ('p', 3.806, 3.856)]",2,4
67,s3_2_seg68,"[('b', 0.92, 0.95), ('m', 1.18, 1.26), ('m', 1.62, 1.7), ('v', 1.7, 1.78), ('p', 2.68, 2.71), ('b', 2.76, 2.84)]","[('B', 1.196, 1.236), ('m', 2.706, 2.786), ('p', 2.786, 2.876), ('B', 3.116, 3.176)]",6,4
68,s3_2_seg69,"[('p', 1.2, 1.25), ('m', 1.55, 1.6)]","[('p', 0.226, 0.306), ('w', 0.306, 0.416), ('p', 0.566, 0.646), ('p', 1.336, 1.386), ('p', 1.506, 1.536)]",2,5
69,s3_2_seg70,"[('p', 2.19, 2.25), ('b', 2.25, 2.29), ('b', 2.6, 2.66)]","[('b', 0.026, 0.116), ('p', 2.036, 2.096), ('w', 2.786, 2.846)]",3,3
70,s3_2_seg71,"[('w', 0.04, 0.07), ('m', 0.26, 0.3), ('f', 1.33, 1.39), ('p', 1.63, 1.81), ('v', 1.93, 2.0), ('f', 2.4, 2.53), ('w', 4.18, 4.21), ('b', 4.74, 4.77)]","[('m', 0.156, 0.216), ('m', 0.596, 0.666), ('m', 2.396, 2.426), ('f', 3.106, 3.236)]",8,4
71,s3_2_seg72,"[('w', 0.31, 0.4), ('p', 1.13, 1.16), ('p', 2.05, 2.09), ('w', 2.6, 2.66), ('b', 3.4, 3.43), ('m', 3.96, 4.01), ('f', 5.05, 5.18)]","[('p', 0.016, 0.056), ('B', 0.326, 0.366), ('p', 0.426, 0.476), ('w', 1.286, 1.336), ('p', 2.186, 2.266), ('w', 2.266, 2.336), ('p', 2.816, 2.846), ('m', 3.246, 3.386), ('m', 3.641, 3.706), ('m', 4.496, 4.546), ('m', 4.796, 4.846)]",7,11
72,s3_2_seg73,"[('f', 0.49, 0.6), ('v', 1.21, 1.24)]","[('p', 0.706, 0.776)]",2,1
73,s3_2_seg74,"[('p', 0.0, 0.03), ('m', 0.45, 0.49), ('f', 1.3, 1.34)]","[('m', 0.096, 0.176)]",3,1
74,s3_2_seg75,"[('w', 0.55, 0.6), ('w', 0.68, 0.84), ('m', 1.07, 1.12), ('b', 1.28, 1.35), ('m', 1.55, 1.66), ('v', 1.88, 1.92), ('b', 1.92, 1.95), ('p', 2.07, 2.1)]","[('m', 0.626, 0.656), ('p', 1.236, 1.266), ('f', 1.516, 1.616), ('p', 1.956, 1.996), ('p', 2.126, 2.196), ('p', 3.246, 3.276)]",8,6
75,s3_2_seg76,"[('b', 0.21, 0.26), ('v', 0.36, 0.4), ('f', 0.64, 0.68), ('m', 0.79, 0.85), ('v', 1.45, 1.49), ('b', 2.17, 2.21), ('f', 2.38, 2.41)]","[('p', 0.106, 0.156), ('w', 0.156, 0.206), ('B', 0.566, 0.596), ('m', 1.246, 1.296), ('B', 1.446, 1.476), ('B', 2.096, 2.126), ('B', 2.406, 2.446)]",7,7
76,s3_2_seg77,"[('b', 0.09, 0.12), ('b', 0.15, 0.18), ('f', 0.39, 0.42), ('v', 0.52, 0.55)]","[('p', 0.0, 0.026), ('B', 0.886, 0.916)]",4,2
77,s3_2_seg78,"[('f', 0.44, 0.59), ('f', 1.35, 1.47), ('w', 1.47, 1.51), ('w', 1.57, 1.66), ('w', 1.77, 1.8), ('p', 1.96, 2.0), ('w', 2.43, 2.47), ('w', 3.26, 3.42), ('w', 3.53, 3.59), ('b', 3.66, 3.7)]","[('m', 0.026, 0.146), ('p', 0.736, 0.766), ('p', 1.226, 1.266), ('m', 1.526, 1.566), ('p', 1.706, 1.746), ('p', 1.876, 1.906), ('B', 2.456, 2.496), ('B', 2.926, 2.956), ('m', 3.006, 3.056), ('m', 3.416, 3.496), ('p', 3.496, 3.556), ('m', 3.666, 3.716)]",10,12
78,s3_2_seg79,"[('f', 0.6, 0.73)]","[('f', 0.636, 0.676)]",1,1
79,s3_2_seg80,"[('m', 0.17, 0.2), ('w', 0.2, 0.25), ('v', 1.69, 1.74), ('p', 2.45, 2.5)]","[('m', 0.756, 0.816), ('w', 0.906, 0.956), ('m', 1.536, 1.566), ('m', 1.606, 1.676), ('p', 1.676, 1.736), ('w', 1.736, 1.776), ('m', 1.986, 2.066)]",4,7
80,s3_2_seg81,"[('m', 1.61, 1.67), ('b', 2.21, 2.24)]","[('p', 0.466, 0.526), ('B', 2.066, 2.126)]",2,2
81,s3_2_seg82,"[('w', 0.0, 0.03), ('m', 0.68, 0.71), ('f', 1.78, 1.81), ('m=', 1.81, 1.85), ('m', 1.91, 1.97), ('p', 2.13, 2.19), ('p', 2.29, 2.32)]","[('p', 0.0, 0.026), ('w', 0.026, 0.056), ('m', 1.986, 2.026), ('p', 2.156, 2.216), ('B', 2.296, 2.326)]",7,5
82,s3_2_seg83,"[('v', 0.21, 0.24), ('p', 0.34, 0.38), ('f', 0.77, 0.8), ('p', 0.95, 1.0)]","[('p', 0.806, 0.866), ('p', 1.276, 1.326)]",4,2
83,s3_2_seg84,"[('m', 0.08, 0.11), ('w', 0.24, 0.27), ('b', 1.33, 1.36), ('v', 1.66, 1.7), ('b', 2.04, 2.07)]","[('p', 0.386, 0.436), ('m', 0.796, 0.936), ('m', 0.936, 0.966), ('B', 1.356, 1.426), ('B', 1.496, 1.526), ('p', 1.716, 1.756)]",5,6
84,s3_2_seg85,"[('w', 0.5, 0.54), ('m', 1.32, 1.39)]","[('m', 1.216, 1.256)]",2,1
85,s3_2_seg86,"[('f', 0.21, 0.26), ('v', 0.74, 0.77), ('m', 0.92, 0.95), ('w', 0.95, 0.98), ('f', 1.11, 1.15), ('w', 1.65, 1.68), ('p', 1.85, 1.9)]","[('m', 0.546, 0.576), ('w', 1.816, 1.876)]",7,2
86,s3_2_seg87,"[('v', 0.43, 0.46), ('m', 0.53, 0.59)]",[],2,0
87,s3_2_seg88,"[('p', 0.26, 0.34), ('m', 0.4, 0.44), ('f', 0.53, 0.56), ('v', 1.0, 1.03), ('v', 1.51, 1.55), ('f', 1.71, 1.76), ('f', 1.84, 1.93)]","[('m', 0.176, 0.246), ('p', 0.296, 0.346), ('p', 0.546, 0.616)]",7,3
88,s3_2_seg89,"[('w', 0.02, 0.05), ('p', 0.28, 0.41), ('m', 0.47, 0.52), ('f', 0.64, 0.74), ('m', 0.99, 1.46), ('v', 1.79, 1.9), ('m', 2.55, 2.63), ('v', 2.85, 2.91), ('p', 3.62, 3.7), ('p', 4.23, 4.26), ('f', 5.41, 5.48), ('m=', 5.48, 5.55), ('v', 5.88, 5.91)]","[('p', 0.006, 0.066), ('m', 0.566, 0.616), ('p', 0.696, 0.736), ('p', 1.846, 1.886), ('m', 2.696, 2.736), ('m', 3.606, 3.656), ('b', 3.656, 3.696), ('m', 4.136, 4.196), ('p', 4.196, 4.256), ('p', 5.056, 5.116), ('w', 5.846, 5.876), ('B', 5.906, 5.946)]",13,12
89,s3_2_seg90,"[('b', 0.0, 0.03)]","[('p', 0.0, 0.026)]",1,1
90,s3_2_seg91,"[('w', 0.03, 0.07)]",[],1,0
91,s3_2_seg92,"[('m', 0.55, 0.6)]","[('b', 0.036, 0.126)]",1,1
92,s3_2_seg93,"[('m', 0.0, 0.06), ('f', 0.12, 0.24), ('v', 0.48, 0.52)]","[('m', 0.036, 0.206), ('B', 0.336, 0.376), ('w', 0.376, 0.476)]",3,3
93,s3_2_seg94,"[('m', 0.0, 0.06)]","[('w', 0.616, 0.666)]",1,1
94,s3_2_seg95,"[('v', 0.15, 0.18), ('m', 0.61, 0.64)]","[('B', 0.236, 0.286), ('B', 1.316, 1.346)]",2,2
95,s3_2_seg96,"[('b', 0.68, 0.71), ('f', 0.88, 0.93), ('b', 1.93, 1.98)]","[('p', 1.176, 1.206), ('w', 1.206, 1.266)]",3,2
96,s3_2_seg97,"[('m', 0.0, 0.07), ('w', 0.79, 0.82), ('m', 0.93, 1.06)]",[],3,0
97,s3_2_seg98,"[('v', 1.42, 1.5), ('p', 1.91, 1.94), ('b', 2.0, 2.04), ('m', 2.21, 2.25), ('w', 3.09, 3.12), ('b', 4.2, 4.23)]","[('p', 1.456, 1.516), ('m', 1.786, 1.886), ('b', 1.886, 1.926), ('m', 2.226, 2.296), ('w', 2.676, 2.716), ('m', 4.136, 4.236)]",6,6
98,s3_2_seg99,[],[],0,0
99,s3_2_seg100,"[('m', 0.5, 0.56), ('m', 0.78, 0.83), ('m', 1.02, 1.05), ('w', 1.74, 1.77), ('p', 2.15, 2.18), ('p', 2.3, 2.35)]","[('p', 0.516, 0.546), ('p', 1.746, 1.816)]",6,2
100,s3_2_seg101,"[('v', 1.29, 1.33), ('m', 1.33, 1.37), ('m', 2.21, 2.24)]","[('m', 1.056, 1.086), ('f', 1.206, 1.286), ('w', 1.286, 1.336), ('m', 1.616, 1.646)]",3,4
101,s3_2_seg102,[],"[('p', 0.046, 0.086), ('w', 0.086, 0.176), ('B', 0.496, 0.536)]",0,3
102,s3_2_seg103,"[('w', 0.02, 0.06), ('w', 0.12, 0.15), ('m', 0.29, 0.32), ('w', 0.32, 0.35), ('m', 0.56, 0.63), ('m', 0.96, 1.14)]","[('p', 0.026, 0.056), ('m', 0.636, 0.686)]",6,2
103,s3_2_seg104,"[('w', 0.51, 0.56), ('w', 0.74, 0.83)]","[('B', 0.816, 0.846)]",2,1
104,s3_2_seg105,"[('m', 0.13, 0.2), ('w', 0.95, 1.02), ('w', 1.13, 1.18), ('m', 1.69, 1.73)]","[('p', 0.016, 0.056), ('p', 0.356, 0.416), ('B', 0.466, 0.506), ('m', 1.306, 1.356)]",4,4
105,s3_2_seg106,"[('w', 0.97, 1.0)]",[],1,0
106,s3_2_seg107,"[('m', 0.22, 0.25), ('p', 0.54, 0.63), ('m', 0.98, 1.08), ('m', 1.13, 1.21), ('p', 1.74, 1.8)]","[('m', 0.566, 0.606), ('B', 0.686, 0.726), ('B', 1.116, 1.156), ('m', 1.496, 1.536), ('B', 1.626, 1.676), ('B', 1.861, 1.906)]",5,6
107,s3_2_seg108,"[('b', 0.0, 0.04), ('m', 0.47, 0.55), ('f', 0.85, 0.96), ('b', 2.41, 2.44), ('m', 2.69, 2.77), ('w', 4.35, 4.44), ('f', 4.73, 4.8), ('m', 4.89, 4.97), ('v', 5.06, 5.12), ('m', 5.4, 5.44), ('m', 5.72, 5.86)]","[('p', 0.0, 0.026), ('B', 0.556, 0.616), ('p', 2.486, 2.526), ('m', 2.836, 2.866), ('p', 2.866, 2.916), ('p', 4.386, 4.426), ('m', 4.916, 5.026), ('m', 5.936, 5.966)]",11,8
108,s3_2_seg109,"[('b', 0.0, 0.03), ('f', 0.35, 0.38), ('f', 0.8, 0.84), ('v', 3.27, 3.31)]","[('p', 0.0, 0.026), ('m', 3.876, 3.936)]",4,2
109,s3_2_seg110,"[('w', 0.0, 0.03), ('v', 0.31, 0.34), ('f', 0.34, 0.37), ('v', 0.47, 0.64), ('v', 0.79, 0.88), ('w', 0.99, 1.02), ('p', 5.14, 5.17), ('v', 5.26, 5.29), ('m', 5.49, 6.2), ('v', 6.97, 7.02)]","[('b', 0.236, 0.266), ('B', 0.366, 0.396), ('p', 0.496, 0.526), ('m', 0.946, 1.016), ('p', 1.016, 1.046), ('p', 3.436, 3.486), ('m', 4.176, 4.336), ('m', 5.976, 6.036), ('B', 7.006, 7.036), ('B', 7.066, 7.096)]",10,10
110,s3_2_seg111,"[('b', 1.07, 1.12), ('m', 1.745, 3.1), ('m', 3.36, 3.4), ('b', 3.85, 3.88), ('m', 4.81, 4.85), ('m', 4.97, 5.01), ('b', 5.01, 5.04), ('v', 5.34, 5.37)]","[('m', 0.426, 0.506), ('p', 0.506, 0.536), ('p', 0.866, 0.916), ('m', 2.026, 3.046), ('m', 3.226, 3.306), ('b', 3.306, 3.336), ('B', 3.846, 3.876), ('m', 4.496, 4.536), ('p', 4.776, 4.806), ('m', 4.886, 4.926)]",8,10
111,s3_2_seg112,"[('f', 0.81, 0.84), ('m', 0.98, 1.01)]",[],2,0
