word,id,frequency,intensity
mi,heroes_s3_14_.segment100.word6,-29.6296,-0.1592
my,heroes_s3_14_.segment100.word6,-25.5717,1.2699
familia,heroes_s3_14_.segment100.word7,-23.5461,-0.1592
family,heroes_s3_14_.segment100.word7,-21.058000000000003,1.2699
un,heroes_s3_14_.segment30.word2,-26.891,1.7246
think,heroes_s3_14_.segment30.word2,-24.7037,1.3673
we,heroes_s3_14_.segment30.word3,-25.111,1.1029
problema,heroes_s3_14_.segment30.word3,-24.8519,1.7246
gordo,heroes_s3_14_.segment30.word4,-25.639,-0.8991
have,heroes_s3_14_.segment30.word4,-25.111,0.8345
what,heroes_s3_16_.segment251.word1,-31.0523,0.3538
qué,heroes_s3_16_.segment251.word1,-30.2622,0.365
se,heroes_s3_16_.segment275.word3,-27.5967,0.4449
the,heroes_s3_16_.segment275.word3,-28.1256,0.0218
pasará,heroes_s3_16_.segment290.word7,23.2209,-0.0314
happens,heroes_s3_16_.segment290.word7,22.2635,-0.445
their,heroes_s3_16_.segment298.word12,-25.283,0.2717
dedo,heroes_s3_16_.segment298.word12,-22.8652,-0.1409
que,heroes_s3_16_.segment298.word5,-22.8652,0.1452
who,heroes_s3_16_.segment298.word5,-24.7503,-0.6318
cabeza,heroes_s3_16_.segment298.word9,-22.8652,0.4267
head,heroes_s3_16_.segment298.word9,-25.283,0.8488
it's,heroes_s3_16_.segment322.word4,-28.3643,-0.5997
ha,heroes_s3_16_.segment322.word4,-27.7828,-2.1745
lo,heroes_s3_16_.segment326.word1,-27.8622,-0.6666
i'm,heroes_s3_16_.segment326.word1,-28.7834,-1.2767
sorry,heroes_s3_16_.segment326.word2,-28.3337,-0.0171
siento,heroes_s3_16_.segment326.word2,-28.3119,-0.3706
seguir,heroes_s3_16_.segment326.word5,-25.0043,-0.0797
can't,heroes_s3_16_.segment326.word5,-28.3337,0.58
lie,heroes_s3_16_.segment326.word6,-28.7834,1.1571
ocultándolo,heroes_s3_16_.segment326.word6,-27.8622,-0.9677
hecho,heroes_s3_16_.segment336.word7,28.7527,-1.6473
did,heroes_s3_16_.segment336.word7,27.9825,-0.3254
us,heroes_s3_16_.segment51.word5,-21.2985,-0.6275
da,heroes_s3_16_.segment51.word5,-22.0956,-1.1097
